"","subitem","subject.x","item.x","list","exp","integrated","related.x","n2num.x","text","X","X.1","X.2","X.3","X.4","animacy","LengthChar.Head","LengthChar.Prep","LengthChar.Adj","LengthChar.Noun","LengthPhon.Head","LengthPhon.Prep","LengthPhon.Adj","LengthPhon.Noun","LengthSylHead","LengthSyll.Prep","LengthSyll.Adj","LengthSyll.Noun","Freq1Mil.Head","FreqMil.Prep","FreqMil.Adj","FreqMil.N1","LogFr.Head","LogFreq.Prep","LogFreq.Adj","LogFreq.N1","RelatedHL","RelatedLH","Integrated","Ass..H.L","Ass..L.HP","Ass..L.HS","AssArc.H.L","AssArc.L.HP","AssArc.L.HS","Plausibility","maincode","dysfluency","subject.y","item.y","transciption"
"18","8-18",8,18,8,"SemRel","integ","unrel","sing","The","table","for","the","antique","lamp","I",5,3,7,4,5,3,5,4,2,1,2,1,105.2,6749.25,4.35,12.82,2.03,3.83,0.73,1.14,5,5,4.08,0,0,10,0,0,0.64,5.92,"C","",8,18,"the table for the antique lamp was old"
"19","8-19",8,19,8,"SemRel","integ","rel","plur","The","resort","with","the","elongated","pools","I",6,4,9,5,6,3,9,4,2,1,4,1,6.65,6749.25,0.31,2.29,0.88,3.83,0.12,0.52,6.25,6.17,4.92,0,0,0,0,0,0,6.17,"C","",8,19,"the resort with the elongated pools is crowded"
"20","8-20",8,20,8,"SemRel","integ","rel","plur","The","hydrant","with","the","bent","hoses","I",7,4,5,5,8,3,4,5,2,1,1,2,1,5044.84,1.02,1.08,0.3,3.7,0.31,0.32,6.33,4.27,5.92,0,0,0,0,0,0,3.67,"C","",8,20,"the hydrant with the bent hoses wasn't working"
"21","8-21",8,21,8,"SemRel","integ","rel","plur","The","guitar","with","the","faulty","strings","I",6,4,7,7,5,3,5,6,2,1,2,1,15.53,5044.84,1.63,8.1,1.22,3.7,0.42,0.96,6.83,6.58,6.83,12.5,0,20,0.72,0,0.93,5.92,"C","",8,21,"the guitar with the faulty strings was working"
"22","8-22",8,22,8,"SemRel","integ","rel","sing","The","trainer","for","the","confident","boxer","A",7,3,9,5,6,3,9,6,2,1,3,2,5.49,6749.25,10.65,3.82,0.81,3.83,1.07,0.68,6.64,5.67,6,0,0,0,0,0,0,5.92,"C","",8,22,"the trainer for the confident boxer was excited"
"23","8-23",8,23,8,"SemRel","integ","rel","sing","The","canoe","with","the","weathered","oar","I",5,4,9,3,4,3,5,3,2,1,2,1,3.53,5044.84,0.18,0.67,0.66,3.7,0.07,0.22,6.67,6.08,6,0,0,10,0,0,0.64,6.25,"C","",8,23,"the canoe with the weathered oar wasn't working"
"24","8-24",8,24,8,"SemRel","integ","rel","sing","The","camera","with","the","special","lens","I",6,4,7,4,6,3,6,4,3,1,2,1,56.9,5044.84,148.2,4.67,1.76,3.7,2.17,0.75,6.75,6.58,6.58,2.5,0,20,0.32,0,0.93,6.75,"C","",8,24,"the camera with the special lens is expensive"
"25","21-1",21,1,5,"SemRel","unint","rel","sing","The","envelope","by","the","formal","letter","I",8,2,6,6,7,2,5,5,3,1,2,2,10.04,1212.84,8.31,82.53,1.04,3.08,0.97,1.92,7,6.25,5.75,27.5,0,10,1.1,0,0.64,5.33,"C","",21,1,"the envelope by the formal letter was sealed"
"26","21-2",21,2,5,"SemRel","unint","rel","sing","The","cake","by","the","colored","candle","I",4,2,7,6,3,2,6,5,1,1,2,2,44.84,1212.84,5.06,8,1.66,3.08,0.78,0.95,6,5.42,5,2.5,2.5,0,0.32,0.32,0,5,"C","",21,2,"the cake by the colored candle was chocolate"
"27","21-3",21,3,5,"SemRel","unint","rel","sing","The","hammer","by","the","rusty","nail","I",6,2,6,4,5,2,5,4,2,1,2,1,10.18,1212.84,4.45,10.45,1.05,3.08,0.74,1.06,7,6.33,5.58,35,0,25,1.27,0,1.05,5.92,"C","",21,3,"the hammer by the rusty nail was very old"
"28","21-4",21,4,5,"SemRel","integ","unrel","plur","The","coach","for","the","disruptive","teenagers","A",5,3,10,9,4,3,9,8,1,1,3,3,29.33,6749.25,0.43,4.29,1.48,3.83,0.16,0.72,3.83,3.58,3.92,0,0,0,0,0,0,5.75,"C","",21,4,"the coach for the disruptive teenagers was very frustrated"
"29","21-5",21,5,5,"SemRel","integ","unrel","plur","The","tent","with","the","sturdy","cushions","I",4,4,6,8,4,3,6,6,1,1,2,2,17.39,5044.84,1.69,1.16,1.26,3.7,0.43,0.33,2.08,2.33,3.42,0,0,0,0,0,0,3.42,"C","",21,5,"the tent with the sturdy cushions was very comfortable"
"30","21-6",21,6,5,"SemRel","integ","unrel","plur","The","dam","for","the","musty","factories","I",3,3,5,9,3,3,5,8,1,1,2,3,5.29,6749.25,0.49,16.8,0.8,3.83,0.17,1.25,1.92,3.27,3.42,0,2.5,0,0,0.32,0,3,"C","",21,6,"the dam for the musty factories was very wide"
"31","21-7",21,7,5,"SemRel","integ","unrel","sing","The","necklace","with","the","colorful","feather","I",8,4,8,7,6,3,8,5,2,1,3,2,9.71,5044.84,3.14,6.51,1.03,3.7,0.62,0.88,1.42,2.75,3.92,0,0,0,0,0,0,5.17,"C","",21,7,"the necklace with the colorful feather was very expensive"
