"","subitem","subject","item","word.type","seconds","unique.id","word"
"95","8-10",8,10,"A1",0.423717709,"8-10-A1","vibrant"
"96","8-10",8,10,"N2",0.430159569,"8-10-N2","flower"
"97","8-10",8,10,"C1",0.127013724,"8-10-C1","is"
"98","8-10",8,10,"C2",0.642120563,"8-10-C2","broken"
"99","8-11",8,11,"sil_#",1.294274977,"8-11-sil_#",NA
"100","8-11",8,11,"D1",0.053457502,"8-11-D1","The"
"101","8-11",8,11,"N1",0.417482766,"8-11-N1","banana"
"102","8-11",8,11,"P1",0.187746197,"8-11-P1","near"
"103","8-11",8,11,"D2",0.11030065,"8-11-D2","the"
"104","8-11",8,11,"A1",0.487085215,"8-11-A1","popular"
"105","8-11",8,11,"N2",0.46548969,"8-11-N2","sundae"
"106","8-11",8,11,"C1",0.216389052,"8-11-C1","is"
"107","8-11",8,11,"C2",0.778693935,"8-11-C2","delicious"
"108","8-12",8,12,"sil_#",0.335321664,"8-12-sil_#",NA
"109","8-12",8,12,"D1",0.041666056,"8-12-D1","The"
"110","8-12",8,12,"N1",0.54146853,"8-12-N1","bodyguard"
"111","8-12",8,12,"P1",0.168447443,"8-12-P1","near"
"112","8-12",8,12,"D2",0.10395913,"8-12-D2","the"
"113","8-12",8,12,"A1",0.319351509,"8-12-A1","nervous"
"114","8-12",8,12,"N2",0.592086615,"8-12-N2","actress"
"115","8-12",8,12,"C1",0.204442841,"8-12-C1","was"
"116","8-12",8,12,"C2",0.325407491,"8-12-C2","tall"
"117","8-13",8,13,"sil_#",2.043208414,"8-13-sil_#",NA
"118","8-13",8,13,"D1",0.11855828,"8-13-D1","The"
"119","8-13",8,13,"N1",0.570603151,"8-13-N1","bicycle"
"120","8-13",8,13,"P1",0.149006421,"8-13-P1","with"
"121","8-13",8,13,"D2",0.092207154,"8-13-D2","the"
"122","8-13",8,13,"A1",0.400441113,"8-13-A1","warped"
"123","8-13",8,13,"N2",0.942757396,"8-13-N2","baskets"
"124","8-13",8,13,"sil_N2C1",0.306302342,"8-13-sil_N2C1",NA
"125","8-13",8,13,"C1",0.350225453,"8-13-C1","still"
"126","8-13",8,13,"C2",0.533371128,"8-13-C2","works"
"127","8-14",8,14,"sil_#",2.526646844,"8-14-sil_#",NA
"128","8-14",8,14,"D1",0.104074356,"8-14-D1","The"
"129","8-14",8,14,"N1",0.343430453,"8-14-N1","caddy"
"130","8-14",8,14,"P1",0.151071355,"8-14-P1","for"
"131","8-14",8,14,"D2",0.130497445,"8-14-D2","the"
"132","8-14",8,14,"A1",0.703533955,"8-14-A1","charismatic"
"133","8-14",8,14,"N2",0.673636739,"8-14-N2","celebrities"
"134","8-14",8,14,"C1",0.193792755,"8-14-C1","was"
"135","8-14",8,14,"C2",0.517211661,"8-14-C2","nice"
"136","8-15",8,15,"sil_#",1.828101562,"8-15-sil_#",NA
"137","8-15",8,15,"D1",0.153293482,"8-15-D1","The"
"138","8-15",8,15,"N1",0.340966833,"8-15-N1","church"
"139","8-15",8,15,"P1",0.08923745,"8-15-P1","with"
"140","8-15",8,15,"D2",0.058925582,"8-15-D2","the"
"141","8-15",8,15,"A1",0.400691368,"8-15-A1","giant"
"142","8-15",8,15,"N2",0.644454976,"8-15-N2","driveways"
"143","8-15",8,15,"C1",0.133268722,"8-15-C1","is"
"144","8-15",8,15,"C2",0.665908974,"8-15-C2","beautiful"
"145","8-16",8,16,"sil_#",0.815110267,"8-16-sil_#",NA
"146","8-16",8,16,"D1",0.083388689,"8-16-D1","The"
"147","8-16",8,16,"N1",0.451219865,"8-16-N1","eraser"
"148","8-16",8,16,"P1",0.157700152,"8-16-P1","for"
"149","8-16",8,16,"D2",0.089416906,"8-16-D2","the"
"150","8-16",8,16,"A1",0.502663182,"8-16-A1","novelty"
"151","8-16",8,16,"N2",0.389249556,"8-16-N2","pen"
"152","8-16",8,16,"sil_N2C1",0.546505997,"8-16-sil_N2C1",NA
"153","8-16",8,16,"C1",0.185706827,"8-16-C1","is"
"154","8-16",8,16,"C2",0.661531577,"8-16-C2","useless"
"155","8-17",8,17,"sil_#",0.779935083,"8-17-sil_#",NA
"156","8-17",8,17,"D1",0.113650057,"8-17-D1","The"
"157","8-17",8,17,"N1",0.500996564,"8-17-N1","waitress"
"158","8-17",8,17,"P1",0.128166105,"8-17-P1","for"
"159","8-17",8,17,"D2",0.063722815,"8-17-D2","the"
"160","8-17",8,17,"A1",0.594200938,"8-17-A1","impatient"
"161","8-17",8,17,"N2",0.357112625,"8-17-N2","senior"
"162","8-17",8,17,"C1",0.189060827,"8-17-C1","was"
"163","8-17",8,17,"C2",0.497164334,"8-17-C2","nice"
"164","8-18",8,18,"sil_#",0.717796884,"8-18-sil_#",NA
"165","8-18",8,18,"D1",0.119184185,"8-18-D1","The"
"166","8-18",8,18,"N1",0.365905103,"8-18-N1","table"
"167","8-18",8,18,"P1",0.169408391,"8-18-P1","for"
"168","8-18",8,18,"D2",0.101597633,"8-18-D2","the"
"169","8-18",8,18,"A1",0.509209932,"8-18-A1","antique"
"170","8-18",8,18,"N2",0.328107277,"8-18-N2","lamp"
"171","8-18",8,18,"C1",0.220320063,"8-18-C1","was"
"172","8-18",8,18,"C2",0.450135351,"8-18-C2","old"
