"","subitem","subject","item","word.type","seconds","unique.id","word","freq","len.char","len.phon","len.syll","related","integrated","plausibility","association","maincode","dysfluency"
"1","101-1",101,1,"sil_#",0.815182965,"101-1-sil_#"," ",0,1,NA,NA,7,5.75,5.33,1.1,"C",""
"2","101-1",101,1,"D1",0.052577687,"101-1-D1","the",6.1766,3,2,1,7,5.75,5.33,1.1,"C",""
"3","101-1",101,1,"N1",0.359578003,"101-1-N1","envelope",2.711,8,7,3,7,5.75,5.33,1.1,"C",""
"4","101-1",101,1,"P1",0.112778146,"101-1-P1","by",4.8348,2,2,1,7,5.75,5.33,1.1,"C",""
"5","101-1",101,1,"D2",0.063076726,"101-1-D2","the",6.1766,3,2,1,7,5.75,5.33,1.1,"C",""
"6","101-1",101,1,"A1",0.340118959,"101-1-A1","formal",2.6284,6,5,2,7,5.75,5.33,1.1,"C",""
"7","101-1",101,1,"N2",0.368557683,"101-1-N2","letter",3.6247,6,5,2,7,5.75,5.33,1.1,"C",""
"8","101-1",101,1,"sil_N2C1",0.726775223,"101-1-sil_N2C1"," ",0,1,NA,NA,7,5.75,5.33,1.1,"C",""
"9","101-1",101,1,"C1",0.60885187,"101-1-C1","was",5.46,3,NA,NA,7,5.75,5.33,1.1,"C",""
"10","101-1",101,1,"sil_C1C2",0.429876815,"101-1-sil_C1C2"," ",0,1,NA,NA,7,5.75,5.33,1.1,"C",""
"11","101-1",101,1,"C2",0.222946833,"101-1-C2","white",3.9418,5,NA,NA,7,5.75,5.33,1.1,"C",""
"12","101-10",101,10,"sil_#",0.504307392,"101-10-sil_#"," ",0,1,NA,NA,6.42,5.58,6.5,1.05,"U",""
"13","101-10",101,10,"D1",0.076151315,"101-10-D1","the",6.1766,3,2,1,6.42,5.58,6.5,1.05,"U",""
"14","101-10",101,10,"N1",0.262867983,"101-10-N1","vase",2.2945,4,3,1,6.42,5.58,6.5,1.05,"U",""
"15","101-10",101,10,"P1",0.119200208,"101-10-P1","with",5.4107,4,3,1,6.42,5.58,6.5,1.05,"U",""
"16","101-10",101,10,"D2",0.072254654,"101-10-D2","the",6.1766,3,2,1,6.42,5.58,6.5,1.05,"U",""
"17","101-10",101,10,"A1",0.360672631,"101-10-A1","vibrant",1.7243,7,7,2,6.42,5.58,6.5,1.05,"U",""
"18","101-10",101,10,"N2",0.629804531,"101-10-N2","flowers",3.3852,7,6,2,6.42,5.58,6.5,1.05,"U",""
"19","101-10",101,10,"C1",0.449575059,"101-10-C1","crashed",2.7259,7,NA,NA,6.42,5.58,6.5,1.05,"U",""
"20","101-11",101,11,"sil_#",1.125766642,"101-11-sil_#"," ",0,1,NA,NA,5.5,5.17,5,0,"C",""
"21","101-11",101,11,"D1",0.051051243,"101-11-D1","the",6.1766,3,2,1,5.5,5.17,5,0,"C",""
"22","101-11",101,11,"N1",0.379837031,"101-11-N1","banana",2.7388,6,6,3,5.5,5.17,5,0,"C",""
"23","101-11",101,11,"P1",0.151647234,"101-11-P1","for",5.5461,3,3,1,5.5,5.17,5,0,"C",""
"24","101-11",101,11,"D2",0.094460435,"101-11-D2","the",6.1766,3,2,1,5.5,5.17,5,0,"C",""
"25","101-11",101,11,"A1",0.441357027,"101-11-A1","popular",3.0711,7,8,3,5.5,5.17,5,0,"C",""
"26","101-11",101,11,"N2",0.68413616,"101-11-N2","sundaes",1.4472,7,6,2,5.5,5.17,5,0,"C",""
"27","101-11",101,11,"sil_N2C1",0.593090364,"101-11-sil_N2C1"," ",0,1,NA,NA,5.5,5.17,5,0,"C",""
"28","101-11",101,11,"C1",0.237993872,"101-11-C1","was",5.46,3,NA,NA,5.5,5.17,5,0,"C",""
"29","101-11",101,11,"C2",0.433325743,"101-11-C2","rotten",2.9504,6,NA,NA,5.5,5.17,5,0,"C",""
"30","101-12",101,12,"sil_#",0.491256061,"101-12-sil_#"," ",0,1,NA,NA,3.92,4.83,5.67,0,"U",""
"31","101-12",101,12,"D1",0.052265573,"101-12-D1","the",6.1766,3,2,1,3.92,4.83,5.67,0,"U",""
"32","101-12",101,12,"N1",0.427563757,"101-12-N1","bodyguard",2.4669,9,8,3,3.92,4.83,5.67,0,"U",""
"33","101-12",101,12,"P1",0.152983082,"101-12-P1","for",5.5461,3,3,1,3.92,4.83,5.67,0,"U",""
"34","101-12",101,12,"D2",0.081533126,"101-12-D2","the",6.1766,3,2,1,3.92,4.83,5.67,0,"U",""
"35","101-12",101,12,"A1",0.325251553,"101-12-A1","nervous",3.5348,7,6,2,3.92,4.83,5.67,0,"U",""
"36","101-12",101,12,"N2",0.750291668,"101-12-N2","actresses",2.0645,9,8,3,3.92,4.83,5.67,0,"U",""
"37","101-12",101,12,"C1",0.315719233,"101-12-C1","stood",3.1193,5,NA,NA,3.92,4.83,5.67,0,"U",""
"38","101-12",101,12,"C2",0.102498357,"101-12-C2","in",5.6976,2,NA,NA,3.92,4.83,5.67,0,"U",""
"39","101-12",101,12,"C3",0.141503023,"101-12-C3","front",3.9666,5,NA,NA,3.92,4.83,5.67,0,"U",""
"40","101-13",101,13,"sil_#",0.718220134,"101-13-sil_#"," ",0,1,NA,NA,6.67,5.75,5.58,0.32,"U",""
"41","101-13",101,13,"D1",0.068477943,"101-13-D1","the",6.1766,3,2,1,6.67,5.75,5.58,0.32,"U",""
"42","101-13",101,13,"N1",0.411844472,"101-13-N1","bicycle",2.5289,7,8,3,6.67,5.75,5.58,0.32,"U",""
"43","101-13",101,13,"P1",0.142156864,"101-13-P1","with",5.4107,4,3,1,6.67,5.75,5.58,0.32,"U",""
"44","101-13",101,13,"D2",0.056143321,"101-13-D2","the",6.1766,3,2,1,6.67,5.75,5.58,0.32,"U",""
"45","101-13",101,13,"A1",0.415550479,"101-13-A1","warped",1.9243,6,4,1,6.67,5.75,5.58,0.32,"U",""
"46","101-13",101,13,"N2",0.583545847,"101-13-N2","tire",2.8007,4,4,1,6.67,5.75,5.58,0.32,"U",""
"47","101-13",101,13,"sil_N2C1",0.079131318,"101-13-sil_N2C1"," ",0,1,NA,NA,6.67,5.75,5.58,0.32,"U",""
"48","101-13",101,13,"C1",0.187951022,"101-13-C1","had",4.9318,3,NA,NA,6.67,5.75,5.58,0.32,"U",""
"49","101-13",101,13,"C2",0.056393438,"101-13-C2","a",6.0175,1,NA,NA,6.67,5.75,5.58,0.32,"U",""
"50","101-13",101,13,"C3",0.315678372,"101-13-C3","flat",3.1265,4,NA,NA,6.67,5.75,5.58,0.32,"U",""
"51","101-14",101,14,"sil_#",0.425604446,"101-14-sil_#"," ",0,1,NA,NA,6.92,6.42,5.58,0,"U",""
"52","101-14",101,14,"D1",0.0770031,"101-14-D1","the",6.1766,3,2,1,6.92,6.42,5.58,0,"U",""
"53","101-14",101,14,"N1",0.275414881,"101-14-N1","caddy",2.1644,5,4,2,6.92,6.42,5.58,0,"U",""
"54","101-14",101,14,"P1",0.163960468,"101-14-P1","for",5.5461,3,3,1,6.92,6.42,5.58,0,"U",""
"55","101-14",101,14,"D2",0.099898011,"101-14-D2","the",6.1766,3,2,1,6.92,6.42,5.58,0,"U",""
"56","101-14",101,14,"A1",0.541114224,"101-14-A1","charismatic",1.6232,11,10,4,6.92,6.42,5.58,0,"U",""
"57","101-14",101,14,"N2",0.59673636,"101-14-N2","golfer",1.7559,6,6,2,6.92,6.42,5.58,0,"U",""
"58","101-14",101,14,"sil_N2C1",0.164669579,"101-14-sil_N2C1"," ",0,1,NA,NA,6.92,6.42,5.58,0,"U",""
"59","101-14",101,14,"C1",0.304318938,"101-14-C1","kept",3.659,4,NA,NA,6.92,6.42,5.58,0,"U",""
"60","101-14",101,14,"C2",0.29777239,"101-14-C2","telling",3.9882,7,NA,NA,6.92,6.42,5.58,0,"U",""
"61","101-14",101,14,"C3",0.194761312,"101-14-C3","him",5.2497,3,NA,NA,6.92,6.42,5.58,0,"U",""
"62","101-15",101,15,"sil_#",0.477600978,"101-15-sil_#"," ",0,1,NA,NA,6.33,6.5,6.75,0.32,"C",""
"63","101-15",101,15,"D1",0.073036258,"101-15-D1","the",6.1766,3,2,1,6.33,6.5,6.75,0.32,"C",""
"64","101-15",101,15,"N1",0.30911305,"101-15-N1","church",3.5507,6,6,1,6.33,6.5,6.75,0.32,"C",""
"65","101-15",101,15,"P1",0.140351293,"101-15-P1","with",5.4107,4,3,1,6.33,6.5,6.75,0.32,"C",""
"66","101-15",101,15,"D2",0.112136475,"101-15-D2","the",6.1766,3,2,1,6.33,6.5,6.75,0.32,"C",""
"67","101-15",101,15,"A1",0.410924801,"101-15-A1","giant",3.1402,5,5,2,6.33,6.5,6.75,0.32,"C",""
"68","101-15",101,15,"N2",0.655939301,"101-15-N2","cross",3.4484,5,4,1,6.33,6.5,6.75,0.32,"C",""
"69","101-15",101,15,"sil_N2C1",0.289459605,"101-15-sil_N2C1"," ",0,1,NA,NA,6.33,6.5,6.75,0.32,"C",""
"70","101-15",101,15,"C1",0.256098527,"101-15-C1","was",5.46,3,NA,NA,6.33,6.5,6.75,0.32,"C",""
"71","101-15",101,15,"C2",0.310220121,"101-15-C2","written",3.3518,7,NA,NA,6.33,6.5,6.75,0.32,"C",""
"72","101-15",101,15,"C3",0.165338578,"101-15-C3","in",5.6976,2,NA,NA,6.33,6.5,6.75,0.32,"C",""
"73","101-16",101,16,"sil_#",0.795030086,"101-16-sil_#"," ",0,1,NA,NA,3.33,2.58,5,0,"C",""
"74","101-16",101,16,"D1",0.140701872,"101-16-D1","the",6.1766,3,2,1,3.33,2.58,5,0,"C",""
"75","101-16",101,16,"N1",0.538957165,"101-16-N1","eraser",1.716,6,6,3,3.33,2.58,5,0,"C",""
"76","101-16",101,16,"P1",0.173223142,"101-16-P1","near",3.6273,4,3,1,3.33,2.58,5,0,"C",""
"77","101-16",101,16,"D2",0.088796228,"101-16-D2","the",6.1766,3,2,1,3.33,2.58,5,0,"C",""
"78","101-16",101,16,"A1",0.535048776,"101-16-A1","novelty",1.9345,7,7,3,3.33,2.58,5,0,"C",""
"79","101-16",101,16,"N2",0.545668233,"101-16-N2","pens",2.1139,4,4,1,3.33,2.58,5,0,"C",""
"80","101-16",101,16,"sil_N2C1",0.176415309,"101-16-sil_N2C1"," ",0,1,NA,NA,3.33,2.58,5,0,"C",""
"81","101-16",101,16,"C1",0.177592452,"101-16-C1","was",5.46,3,NA,NA,3.33,2.58,5,0,"C",""
"82","101-16",101,16,"C2",0.389472482,"101-16-C2","pink",3.1623,4,NA,NA,3.33,2.58,5,0,"C",""
"83","101-17",101,17,"sil_#",0.856011002,"101-17-sil_#"," ",0,1,NA,NA,2.17,2.67,6.25,0,"U",""
"84","101-17",101,17,"D1",0.052266141,"101-17-D1","the",6.1766,3,2,1,2.17,2.67,6.25,0,"U",""
"85","101-17",101,17,"N1",0.322654689,"101-17-N1","waitress",2.7701,8,6,2,2.17,2.67,6.25,0,"U",""
"86","101-17",101,17,"P1",0.146092293,"101-17-P1","by",4.8348,2,2,1,2.17,2.67,6.25,0,"U",""
"87","101-17",101,17,"D2",0.085431116,"101-17-D2","the",6.1766,3,2,1,2.17,2.67,6.25,0,"U",""
"88","101-17",101,17,"A1",0.588389667,"101-17-A1","impatient",2.316,9,8,3,2.17,2.67,6.25,0,"U",""
"89","101-17",101,17,"N2",0.73010135,"101-17-N2","seniors",2.0899,7,6,2,2.17,2.67,6.25,0,"U",""
"90","101-17",101,17,"sil_N2C1",0.151147776,"101-17-sil_N2C1"," ",0,1,NA,NA,2.17,2.67,6.25,0,"U",""
"91","101-17",101,17,"C1",0.226784058,"101-17-C1","gave",4.0944,4,NA,NA,2.17,2.67,6.25,0,"U",""
"92","101-17",101,17,"C2",0.260096404,"101-17-C2","them",4.9577,4,NA,NA,2.17,2.67,6.25,0,"U",""
"93","101-17",101,17,"sil_C2C3",0.179127595,"101-17-sil_C2C3"," ",0,1,NA,NA,2.17,2.67,6.25,0,"U",""
"94","101-17",101,17,"C3",0.087633537,"101-17-C3","a",6.0175,1,NA,NA,2.17,2.67,6.25,0,"U",""
"95","101-18",101,18,"sil_#",0.792567395,"101-18-sil_#"," ",0,1,NA,NA,5.33,3.67,6.25,0,"U",""
"96","101-18",101,18,"D1",0.106075247,"101-18-D1","the",6.1766,3,2,1,5.33,3.67,6.25,0,"U",""
"97","101-18",101,18,"N1",0.255085712,"101-18-N1","table",3.7314,5,5,2,5.33,3.67,6.25,0,"U",""
"98","101-18",101,18,"P1",0.163559483,"101-18-P1","by",4.8348,2,2,1,5.33,3.67,6.25,0,"U",""
"99","101-18",101,18,"D2",0.1671714,"101-18-D2","the",6.1766,3,2,1,5.33,3.67,6.25,0,"U",""
"100","101-18",101,18,"A1",0.569787086,"101-18-A1","antique",2.4914,7,5,2,5.33,3.67,6.25,0,"U",""
"101","101-18",101,18,"N2",0.428907117,"101-18-N2","lamps",2.0212,5,5,1,5.33,3.67,6.25,0,"U",""
"102","101-18",101,18,"C1",0.144309524,"101-18-C1","had",4.9318,3,NA,NA,5.33,3.67,6.25,0,"U",""
"103","101-18",101,18,"C2",0.047416198,"101-18-C2","a",6.0175,1,NA,NA,5.33,3.67,6.25,0,"U",""
"104","101-18",101,18,"C3",0.326522768,"101-18-C3","computer",3.4789,8,NA,NA,5.33,3.67,6.25,0,"U",""
"105","101-19",101,19,"sil_#",0.926388608,"101-19-sil_#"," ",0,1,NA,NA,3.67,3.33,6.08,0,"U",""
"106","101-19",101,19,"D1",0.059442375,"101-19-D1","the",6.1766,3,2,1,3.67,3.33,6.08,0,"U",""
"107","101-19",101,19,"N1",0.360032007,"101-19-N1","resort",2.5478,6,6,2,3.67,3.33,6.08,0,"U",""
"108","101-19",101,19,"P1",0.16345427,"101-19-P1","near",3.6273,4,3,1,3.67,3.33,6.08,0,"U",""
"109","101-19",101,19,"D2",0.092409256,"101-19-D2","the",6.1766,3,2,1,3.67,3.33,6.08,0,"U",""
"110","101-19",101,19,"A1",0.40158339,"101-19-A1","elaborate",2.3856,9,8,4,3.67,3.33,6.08,0,"U",""
"111","101-19",101,19,"N2",0.595847133,"101-19-N2","garden",3.1319,6,5,2,3.67,3.33,6.08,0,"U",""
"112","101-19",101,19,"sil_N2C1",0.389079914,"101-19-sil_N2C1"," ",0,1,NA,NA,3.67,3.33,6.08,0,"U",""
"113","101-19",101,19,"C1",0.512728992,"101-19-C1","had",4.9318,3,NA,NA,3.67,3.33,6.08,0,"U",""
"114","101-19",101,19,"sil_C1C2",0.642766856,"101-19-sil_C1C2"," ",0,1,NA,NA,3.67,3.33,6.08,0,"U",""
"115","101-19",101,19,"C2",0.213290061,"101-19-C2","a",6.0175,1,NA,NA,3.67,3.33,6.08,0,"U",""
"116","101-19",101,19,"sil_C2C3",0.203284365,"101-19-sil_C2C3"," ",0,1,NA,NA,3.67,3.33,6.08,0,"U",""
"117","101-19",101,19,"C3",0.272273563,"101-19-C3","wide",3.0846,4,NA,NA,3.67,3.33,6.08,0,"U",""
"118","101-2",101,2,"sil_#",0.317346383,"101-2-sil_#"," ",0,1,NA,NA,6,5,5,0.32,"C",""
"119","101-2",101,2,"D1",0.116721997,"101-2-D1","the",6.1766,3,2,1,6,5,5,0.32,"C",""
"120","101-2",101,2,"N1",0.215348384,"101-2-N1","cake",3.3615,4,3,1,6,5,5,0.32,"C",""
"121","101-2",101,2,"P1",0.162292716,"101-2-P1","by",4.8348,2,2,1,6,5,5,0.32,"C",""
"122","101-2",101,2,"D2",0.122419889,"101-2-D2","the",6.1766,3,2,1,6,5,5,0.32,"C",""
"123","101-2",101,2,"A1",0.349733338,"101-2-A1","colored",2.5775,7,6,2,6,5,5,0.32,"C",""
"124","101-2",101,2,"N2",0.385516607,"101-2-N2","candle",2.6128,6,5,2,6,5,5,0.32,"C",""
"125","101-2",101,2,"C1",0.178564322,"101-2-C1","was",5.46,3,NA,NA,6,5,5,0.32,"C",""
"126","101-2",101,2,"C2",0.389677281,"101-2-C2","painted",2.8519,7,NA,NA,6,5,5,0.32,"C",""
"127","101-2",101,2,"C3",0.170734952,"101-2-C3","in",5.6976,2,NA,NA,6,5,5,0.32,"C",""
"128","101-2",101,2,"C4",0.324709841,"101-2-C4","pink",3.1623,4,NA,NA,6,5,5,0.32,"C",""
"129","101-20",101,20,"sil_#",0.605120071,"101-20-sil_#"," ",0,1,NA,NA,2.58,2.25,4.67,0,"C",""
"130","101-20",101,20,"D1",0.057484887,"101-20-D1","the",6.1766,3,2,1,2.58,2.25,4.67,0,"C",""
"131","101-20",101,20,"N1",0.294729426,"101-20-N1","hydrant",1.7243,7,8,2,2.58,2.25,4.67,0,"C",""
"132","101-20",101,20,"P1",0.150346057,"101-20-P1","near",3.6273,4,3,1,2.58,2.25,4.67,0,"C",""
"133","101-20",101,20,"D2",0.07171175,"101-20-D2","the",6.1766,3,2,1,2.58,2.25,4.67,0,"C",""
"134","101-20",101,20,"A1",0.218842135,"101-20-A1","bright",3.3553,6,4,1,2.58,2.25,4.67,0,"C",""
"135","101-20",101,20,"N2",0.755552873,"101-20-N2","reflector",1.1761,9,9,3,2.58,2.25,4.67,0,"C",""
"136","101-20",101,20,"sil_N2C1",0.278012307,"101-20-sil_N2C1"," ",0,1,NA,NA,2.58,2.25,4.67,0,"C",""
"137","101-20",101,20,"C1",0.205387295,"101-20-C1","was",5.46,3,NA,NA,2.58,2.25,4.67,0,"C",""
"138","101-20",101,20,"C2",0.28618477,"101-20-C2","yellow",3.2368,6,NA,NA,2.58,2.25,4.67,0,"C",""
"139","101-21",101,21,"sil_#",0.713146385,"101-21-sil_#"," ",0,1,NA,NA,4.17,2.63,3.75,0,"U",""
"140","101-21",101,21,"D1",0.044799848,"101-21-D1","the",6.1766,3,2,1,4.17,2.63,3.75,0,"U",""
"141","101-21",101,21,"N1",0.356604711,"101-21-N1","guitar",2.9009,6,5,2,4.17,2.63,3.75,0,"U",""
"142","101-21",101,21,"P1",0.17804099,"101-21-P1","near",3.6273,4,3,1,4.17,2.63,3.75,0,"U",""
"143","101-21",101,21,"D2",0.07169214,"101-21-D2","the",6.1766,3,2,1,4.17,2.63,3.75,0,"U",""
"144","101-21",101,21,"A1",0.421894367,"101-21-A1","faulty",1.9243,6,5,2,4.17,2.63,3.75,0,"U",""
"145","101-21",101,21,"N2",0.493639091,"101-21-N2","pedal",2.0212,5,5,2,4.17,2.63,3.75,0,"U",""
"146","101-21",101,21,"sil_N2C1",0.433345869,"101-21-sil_N2C1"," ",0,1,NA,NA,4.17,2.63,3.75,0,"U",""
"147","101-21",101,21,"C1",0.151257233,"101-21-C1","broke",3.7288,5,NA,NA,4.17,2.63,3.75,0,"U",""
"148","101-21",101,21,"C2",0.062403431,"101-21-C2","a",6.0175,1,NA,NA,4.17,2.63,3.75,0,"U",""
"149","101-21",101,21,"C3",0.33530202,"101-21-C3","string",2.8109,6,NA,NA,4.17,2.63,3.75,0,"U",""
"150","101-22",101,22,"sil_#",0.768890767,"101-22-sil_#"," ",0,1,NA,NA,6.33,3.92,5,0,"U",""
"151","101-22",101,22,"D1",0.094686556,"101-22-D1","the",6.1766,3,2,1,6.33,3.92,5,0,"U",""
"152","101-22",101,22,"N1",0.328180638,"101-22-N1","trainer",2.4548,7,6,2,6.33,3.92,5,0,"U",""
"153","101-22",101,22,"P1",0.164991317,"101-22-P1","near",3.6273,4,3,1,6.33,3.92,5,0,"U",""
"154","101-22",101,22,"D2",0.108995518,"101-22-D2","the",6.1766,3,2,1,6.33,3.92,5,0,"U",""
"155","101-22",101,22,"A1",0.482378141,"101-22-A1","confident",2.7356,9,9,3,6.33,3.92,5,0,"U",""
"156","101-22",101,22,"N2",0.603095384,"101-22-N2","boxers",2.0086,6,7,2,6.33,3.92,5,0,"U",""
"157","101-22",101,22,"C1",0.265365155,"101-22-C1","yelled",2.4969,6,NA,NA,6.33,3.92,5,0,"U",""
"158","101-22",101,22,"C2",0.068149939,"101-22-C2","at",5.215,2,NA,NA,6.33,3.92,5,0,"U",""
"159","101-22",101,22,"C3",0.145029613,"101-22-C3","him",5.2497,3,NA,NA,6.33,3.92,5,0,"U",""
"160","101-23",101,23,"sil_#",1.052145324,"101-23-sil_#"," ",0,1,NA,NA,5.42,4.75,5.58,0,"U",""
"161","101-23",101,23,"D1",0.065533995,"101-23-D1","the",6.1766,3,2,1,5.42,4.75,5.58,0,"U",""
"162","101-23",101,23,"N1",0.321954788,"101-23-N1","canoe",2.2625,5,4,2,5.42,4.75,5.58,0,"U",""
"163","101-23",101,23,"P1",0.205791454,"101-23-P1","near",3.6273,4,3,1,5.42,4.75,5.58,0,"U",""
"164","101-23",101,23,"D2",0.096994418,"101-23-D2","the",6.1766,3,2,1,5.42,4.75,5.58,0,"U",""
"165","101-23",101,23,"A1",0.348684804,"101-23-A1","weathered",1.2553,9,5,2,5.42,4.75,5.58,0,"U",""
"166","101-23",101,23,"N2",0.608839538,"101-23-N2","oars",1.7482,4,4,1,5.42,4.75,5.58,0,"U",""
"167","101-23",101,23,"sil_N2C1",0.171172899,"101-23-sil_N2C1"," ",0,1,NA,NA,5.42,4.75,5.58,0,"U",""
"168","101-23",101,23,"C1",0.230099201,"101-23-C1","went",4.322,4,NA,NA,5.42,4.75,5.58,0,"U",""
"169","101-23",101,23,"C2",0.222705855,"101-23-C2","under",4.1258,5,NA,NA,5.42,4.75,5.58,0,"U",""
"170","101-23",101,23,"C3",0.294407213,"101-23-C3","water",4.0599,5,NA,NA,5.42,4.75,5.58,0,"U",""
"171","101-24",101,24,"sil_#",0.507612442,"101-24-sil_#"," ",0,1,NA,NA,6.08,5.67,5,0.32,"U",""
"172","101-24",101,24,"D1",0.11195991,"101-24-D1","the",6.1766,3,2,1,6.08,5.67,5,0.32,"U",""
"173","101-24",101,24,"N1",0.259208232,"101-24-N1","camera",3.4636,6,6,3,6.08,5.67,5,0.32,"U",""
"174","101-24",101,24,"P1",0.162653434,"101-24-P1","by",4.8348,2,2,1,6.08,5.67,5,0.32,"U",""
"175","101-24",101,24,"D2",0.082921449,"101-24-D2","the",6.1766,3,2,1,6.08,5.67,5,0.32,"U",""
"176","101-24",101,24,"A1",0.406126644,"101-24-A1","special",3.8796,7,6,2,6.08,5.67,5,0.32,"U",""
"177","101-24",101,24,"N2",0.682658604,"101-24-N2","lenses",2.0682,6,6,2,6.08,5.67,5,0.32,"U",""
"178","101-24",101,24,"sil_N2C1",0.576115345,"101-24-sil_N2C1"," ",0,1,NA,NA,6.08,5.67,5,0.32,"U",""
"179","101-24",101,24,"C1",0.167823935,"101-24-C1","went",4.322,4,NA,NA,6.08,5.67,5,0.32,"U",""
"180","101-24",101,24,"C2",0.409997888,"101-24-C2","off",4.7793,3,NA,NA,6.08,5.67,5,0.32,"U",""
"181","101-5",101,5,"sil_#",0.386203629,"101-5-sil_#"," ",0,1,NA,NA,2.08,3.42,3.42,0,"C",""
"182","101-5",101,5,"D1",0.098143207,"101-5-D1","the",6.1766,3,2,1,2.08,3.42,3.42,0,"C",""
"183","101-5",101,5,"N1",0.209565368,"101-5-N1","tent",2.9509,4,4,1,2.08,3.42,3.42,0,"C",""
"184","101-5",101,5,"P1",0.159317722,"101-5-P1","with",5.4107,4,3,1,2.08,3.42,3.42,0,"C",""
"185","101-5",101,5,"D2",0.062393965,"101-5-D2","the",6.1766,3,2,1,2.08,3.42,3.42,0,"C",""
"186","101-5",101,5,"A1",0.411110365,"101-5-A1","sturdy",1.9395,6,6,2,2.08,3.42,3.42,0,"C",""
"187","101-5",101,5,"N2",0.747569549,"101-5-N2","cushions",1.7853,8,6,2,2.08,3.42,3.42,0,"C",""
"188","101-5",101,5,"sil_N2C1",0.457958283,"101-5-sil_N2C1"," ",0,1,NA,NA,2.08,3.42,3.42,0,"C",""
"189","101-5",101,5,"C1",0.330304875,"101-5-C1","was",5.46,3,NA,NA,2.08,3.42,3.42,0,"C",""
"190","101-5",101,5,"C2",0.320857805,"101-5-C2","very",4.8014,4,NA,NA,2.08,3.42,3.42,0,"C",""
"191","101-5",101,5,"C3",0.560660322,"101-5-C3","large",3.3253,5,NA,NA,2.08,3.42,3.42,0,"C",""
"192","101-6",101,6,"sil_#",0.341888108,"101-6-sil_#"," ",0,1,NA,NA,1.92,3.42,3,0,"C",""
"193","101-6",101,6,"D1",0.073169775,"101-6-D1","the",6.1766,3,2,1,1.92,3.42,3,0,"C",""
"194","101-6",101,6,"N1",0.254600952,"101-6-N1","dam",2.4683,3,3,1,1.92,3.42,3,0,"C",""
"195","101-6",101,6,"P1",0.137700097,"101-6-P1","for",5.5461,3,3,1,1.92,3.42,3,0,"C",""
"196","101-6",101,6,"D2",0.07712104,"101-6-D2","the",6.1766,3,2,1,1.92,3.42,3,0,"C",""
"197","101-6",101,6,"A1",0.356566761,"101-6-A1","musty",1.415,5,5,2,1.92,3.42,3,0,"C",""
"198","101-6",101,6,"N2",0.767040623,"101-6-N2","factories",2.0792,9,8,3,1.92,3.42,3,0,"C",""
"199","101-6",101,6,"sil_N2C1",0.059592301,"101-6-sil_N2C1"," ",0,1,NA,NA,1.92,3.42,3,0,"C",""
"200","101-6",101,6,"C1",0.259125383,"101-6-C1","was",5.46,3,NA,NA,1.92,3.42,3,0,"C",""
"201","101-6",101,6,"C2",0.211819791,"101-6-C2","filled",3.1421,6,NA,NA,1.92,3.42,3,0,"C",""
"202","101-6",101,6,"C3",0.112234933,"101-6-C3","with",5.4107,4,NA,NA,1.92,3.42,3,0,"C",""
"203","101-7",101,7,"sil_#",0.817357118,"101-7-sil_#"," ",0,1,NA,NA,1.42,3.92,5.17,0,"U",""
"204","101-7",101,7,"D1",0.058007998,"101-7-D1","the",6.1766,3,2,1,1.42,3.92,5.17,0,"U",""
"205","101-7",101,7,"N1",0.384784508,"101-7-N1","necklace",2.6972,8,6,2,1.42,3.92,5.17,0,"U",""
"206","101-7",101,7,"P1",0.098961465,"101-7-P1","with",5.4107,4,3,1,1.42,3.92,5.17,0,"U",""
"207","101-7",101,7,"D2",0.104139681,"101-7-D2","the",6.1766,3,2,1,1.42,3.92,5.17,0,"U",""
"208","101-7",101,7,"A1",0.414565827,"101-7-A1","colorful",2.2148,8,8,3,1.42,3.92,5.17,0,"U",""
"209","101-7",101,7,"N2",0.511307247,"101-7-N2","feather",2.5302,7,5,2,1.42,3.92,5.17,0,"U",""
"210","101-7",101,7,"sil_N2C1",0.150236285,"101-7-sil_N2C1"," ",0,1,NA,NA,1.42,3.92,5.17,0,"U",""
"211","101-7",101,7,"C1",0.292121147,"101-7-C1","had",4.9318,3,NA,NA,1.42,3.92,5.17,0,"U",""
"212","101-7",101,7,"C2",0.094930543,"101-7-C2","a",6.0175,1,NA,NA,1.42,3.92,5.17,0,"U",""
"213","101-7",101,7,"C3",0.279204224,"101-7-C3","bow",3.0149,3,NA,NA,1.42,3.92,5.17,0,"U",""
"214","101-8",101,8,"sil_#",0.653962186,"101-8-sil_#"," ",0,1,NA,NA,2,2.83,3.75,0,"C",""
"215","101-8",101,8,"D1",0.052459468,"101-8-D1","the",6.1766,3,2,1,2,2.83,3.75,0,"C",""
"216","101-8",101,8,"N1",0.487511266,"101-8-N1","fortress",2.238,8,7,2,2,2.83,3.75,0,"C",""
"217","101-8",101,8,"P1",0.10629956,"101-8-P1","with",5.4107,4,3,1,2,2.83,3.75,0,"C",""
"218","101-8",101,8,"D2",0.055254887,"101-8-D2","the",6.1766,3,2,1,2,2.83,3.75,0,"C",""
"219","101-8",101,8,"A1",0.437410045,"101-8-A1","ancient",3.0438,7,6,2,2,2.83,3.75,0,"C",""
"220","101-8",101,8,"sil_A1N2",0.038550595,"101-8-sil_A1N2"," ",0,1,NA,NA,2,2.83,3.75,0,"C",""
"221","101-8",101,8,"N2",0.554908641,"101-8-N2","farm",3.1855,4,3,1,2,2.83,3.75,0,"C",""
