Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,RANK,RANKlog
budged,6,6,6,6,0.12,0.8451,0.07,0.8451,41125,4.614105911
Budger,3,1,0,0,0.06,0.6021,0.01,0.3010,53070,4.724849088
budget,513,362,491,348,10.06,2.7110,4.32,2.5599,4365,3.639984248
budgetary,7,6,7,6,0.14,0.9031,0.07,0.8451,40034,4.602428985
budgeted,8,8,8,8,0.16,0.9542,0.10,0.9542,37732,4.576709826
budgeting,4,4,3,3,0.08,0.6990,0.05,0.6990,45921,4.662011337
budgets,25,23,24,22,0.49,1.4150,0.27,1.3802,24621,4.391305688
Budgie,2,2,0,0,0.04,0.4771,0.02,0.4771,54055,4.732835872
budging,8,8,8,8,0.16,0.9542,0.10,0.9542,37733,4.576721336
buds,90,80,80,73,1.76,1.9590,0.95,1.9085,12709,4.10411138
Buenas,47,39,4,4,0.92,1.6812,0.46,1.6021,18188,4.259784946
Bueno,53,43,18,16,1.04,1.7324,0.51,1.6435,17098,4.232945313
Buenos,173,88,5,5,3.39,2.2405,1.05,1.9494,8723,3.940665872
buff,127,98,102,87,2.49,2.1072,1.17,1.9956,10456,4.019365575
Buffalo,607,253,237,137,11.90,2.7839,3.02,2.4048,3872,3.587935349
buffaloed,4,4,4,4,0.08,0.6990,0.05,0.6990,45922,4.662020794
buffaloes,13,12,10,9,0.25,1.1461,0.14,1.1139,32111,4.506653831
buffalos,3,3,2,2,0.06,0.6021,0.04,0.6021,49287,4.692732384
buffed,15,15,14,14,0.29,1.2041,0.18,1.2041,30267,4.480969377
buffer,85,50,78,48,1.67,1.9345,0.60,1.7076,13206,4.120771293
buffered,2,2,2,2,0.04,0.4771,0.02,0.4771,54056,4.732843906
buffering,4,2,4,2,0.08,0.6990,0.02,0.4771,48410,4.684935083
buffers,10,7,10,7,0.20,1.0414,0.08,0.9031,35910,4.555215405
buffet,226,179,212,167,4.43,2.3560,2.13,2.2553,7413,3.869994
buffeted,4,4,4,4,0.08,0.6990,0.05,0.6990,45923,4.662030251
buffets,11,11,11,11,0.22,1.0792,0.13,1.0792,33892,4.530097198
Buffi,3,1,0,0,0.06,0.6021,0.01,0.3010,53071,4.724857271
buffing,18,15,14,14,0.35,1.2788,0.18,1.2041,28519,4.455134293
buffoon,44,39,37,36,0.86,1.6532,0.46,1.6021,18797,4.274088541
buffoonery,7,7,7,7,0.14,0.9031,0.08,0.9031,39338,4.594812276
buffoons,11,9,11,9,0.22,1.0792,0.11,1.0000,34469,4.537428684
buffs,7,6,7,6,0.14,0.9031,0.07,0.8451,40035,4.602439833
Buffy,163,55,1,1,3.20,2.2148,0.66,1.7482,9019,3.955158387
bug,1068,583,878,541,20.94,3.0290,6.95,2.7664,2565,3.409087369
bugaboo,7,7,7,7,0.14,0.9031,0.08,0.9031,39339,4.594823316
Bugbear,2,1,0,0,0.04,0.4771,0.01,0.3010,59081,4.771447838
bugged,130,102,129,102,2.55,2.1173,1.22,2.0128,10296,4.012668534
bugger,222,157,145,113,4.35,2.3483,1.87,2.1987,7495,3.874771637
buggered,14,10,12,9,0.27,1.1761,0.12,1.0414,31637,4.500195295
buggering,8,7,8,7,0.16,0.9542,0.08,0.9031,38323,4.583459499
buggers,42,40,40,39,0.82,1.6335,0.48,1.6128,19218,4.283708189
buggery,5,5,4,4,0.10,0.7782,0.06,0.7782,43261,4.636096554
buggies,21,16,21,16,0.41,1.3424,0.19,1.2304,26795,4.428053761
bugging,234,194,229,194,4.59,2.3711,2.31,2.2900,7244,3.859978442
buggy,127,74,108,72,2.49,2.1072,0.88,1.8751,10469,4.0199052
bughouse,11,8,10,7,0.22,1.0792,0.10,0.9542,34629,4.53943995
bugle,88,49,65,38,1.73,1.9494,0.58,1.6990,12914,4.111060782
Bugler,58,17,17,8,1.14,1.7709,0.20,1.2553,16350,4.213517757
buglers,2,2,2,2,0.04,0.4771,0.02,0.4771,54057,4.73285194
bugles,17,12,11,10,0.33,1.2553,0.14,1.1139,29292,4.466749025
bugling,11,3,10,3,0.22,1.0792,0.04,0.6021,34947,4.5434099
bugs,695,419,566,369,13.63,2.8426,5.00,2.6232,3498,3.543819805
Buick,101,69,3,3,1.98,2.0086,0.82,1.8451,11952,4.077440584
Buicks,7,5,0,0,0.14,0.9031,0.06,0.7782,40424,4.606639285
build,2452,1542,2327,1484,48.08,3.3897,18.38,3.1884,1354,3.131618664
builded,3,3,3,3,0.06,0.6021,0.04,0.6021,49288,4.692741196
builder,48,43,42,39,0.94,1.6902,0.51,1.6435,17946,4.253967663
builders,30,25,26,22,0.59,1.4914,0.30,1.4150,22726,4.356523002
building,5078,2411,4690,2305,99.57,3.7058,28.74,3.3824,759,2.880241776
buildings,509,355,496,347,9.98,2.7076,4.23,2.5514,4382,3.641672373
builds,179,157,170,148,3.51,2.2553,1.87,2.1987,8529,3.930898114
buildup,59,52,59,52,1.16,1.7782,0.62,1.7243,16093,4.206637011
buildups,2,2,2,2,0.04,0.4771,0.02,0.4771,54058,4.732859974
built,2099,1446,2040,1421,41.16,3.3222,17.24,3.1605,1528,3.184123354
bulb,200,148,193,142,3.92,2.3032,1.76,2.1732,7990,3.902546779
bulbar,2,2,1,1,0.04,0.4771,0.02,0.4771,54059,4.732868008
bulbed,2,1,2,1,0.04,0.4771,0.01,0.3010,59082,4.771455188
bulbous,11,11,10,10,0.22,1.0792,0.13,1.0792,33893,4.530110012
bulbs,87,67,87,67,1.71,1.9445,0.80,1.8325,12975,4.113107367
Bulgaria,11,9,1,1,0.22,1.0792,0.11,1.0000,34470,4.537441283
Bulgarian,14,13,0,0,0.27,1.1761,0.15,1.1461,31210,4.494293769
Bulgarians,4,4,0,0,0.08,0.6990,0.05,0.6990,45924,4.662039708
bulge,48,41,35,32,0.94,1.6902,0.49,1.6232,17986,4.254934589
Bulger,10,1,0,0,0.20,1.0414,0.01,0.3010,36244,4.559236122
bulges,5,5,5,5,0.10,0.7782,0.06,0.7782,43262,4.636106593
bulging,40,32,34,31,0.78,1.6128,0.38,1.5185,19793,4.296511625
bulgur,5,2,5,2,0.10,0.7782,0.02,0.4771,45443,4.657466994
bulgy,2,2,2,2,0.04,0.4771,0.02,0.4771,54060,4.732876041
bulimia,19,17,18,16,0.37,1.3010,0.20,1.2553,27823,4.444403956
bulimic,29,22,27,21,0.57,1.4771,0.26,1.3617,23165,4.364832305
bulimics,2,2,2,2,0.04,0.4771,0.02,0.4771,54061,4.732884075
bulk,97,91,89,83,1.90,1.9912,1.08,1.9638,12187,4.085896811
bulked,3,3,3,3,0.06,0.6021,0.04,0.6021,49289,4.692750007
bulkhead,48,34,48,34,0.94,1.6902,0.41,1.5441,18044,4.256332818
bulkheads,4,4,4,4,0.08,0.6990,0.05,0.6990,45925,4.662049165
bulkier,2,2,2,2,0.04,0.4771,0.02,0.4771,54062,4.732892108
bulking,8,6,7,5,0.16,0.9542,0.07,0.8451,38664,4.587306782
bulky,26,25,26,25,0.51,1.4314,0.30,1.4150,24155,4.383007042
bull,1403,665,917,497,27.51,3.1474,7.93,2.8235,2066,3.315130317
Bulldog,232,85,61,47,4.55,2.3674,1.01,1.9345,7302,3.863441829
bulldogging,2,2,2,2,0.04,0.4771,0.02,0.4771,54063,4.732900141
Bulldogs,25,15,7,7,0.49,1.4150,0.18,1.2041,24884,4.395920193
bulldoze,14,12,14,12,0.27,1.1761,0.14,1.1139,31387,4.496749807
bulldozed,3,3,3,3,0.06,0.6021,0.04,0.6021,49290,4.692758818
bulldozer,66,41,61,38,1.29,1.8261,0.49,1.6232,15216,4.1823005
bulldozers,22,17,17,12,0.43,1.3617,0.20,1.2553,26237,4.418914175
bulldozes,2,2,2,2,0.04,0.4771,0.02,0.4771,54064,4.732908174
bulldozing,8,7,6,5,0.16,0.9542,0.08,0.9031,38324,4.583470831
bulled,2,2,2,2,0.04,0.4771,0.02,0.4771,54065,4.732916207
bullet,1950,1006,1676,966,38.24,3.2903,11.99,3.0030,1602,3.204662512
Bullethead,5,3,1,1,0.10,0.7782,0.04,0.6021,45133,4.654494202
bulletin,183,148,163,137,3.59,2.2648,1.76,2.1732,8428,3.925724527
bulletins,17,14,17,14,0.33,1.2553,0.17,1.1761,29167,4.464891762
bulletproof,130,106,109,94,2.55,2.1173,1.26,2.0294,10290,4.012415375
bullets,901,588,843,561,17.67,2.9552,7.01,2.7701,2909,3.463743721
bullfight,15,11,15,11,0.29,1.2041,0.13,1.0792,30761,4.48800045
bullfighter,34,22,31,20,0.67,1.5441,0.26,1.3617,21483,4.332094928
bullfighters,9,7,9,7,0.18,1.0000,0.08,0.9031,37113,4.569526062
bullfighting,14,9,12,8,0.27,1.1761,0.11,1.0000,31685,4.500853711
bullfights,6,6,6,6,0.12,0.8451,0.07,0.8451,41126,4.614116471
Bullfinch,3,2,1,1,0.06,0.6021,0.02,0.4771,52151,4.71726264
bullfrog,26,19,17,14,0.51,1.4314,0.23,1.3010,24382,4.387069327
bullfrogs,2,2,2,2,0.04,0.4771,0.02,0.4771,54066,4.73292424
bullheaded,20,17,19,17,0.39,1.3222,0.20,1.2553,27276,4.435780682
bullheadedness,2,2,2,2,0.04,0.4771,0.02,0.4771,54067,4.732932273
bullheads,2,2,2,2,0.04,0.4771,0.02,0.4771,54068,4.732940305
bullhorn,23,19,21,17,0.45,1.3802,0.23,1.3010,25685,4.40967957
bullhorns,2,2,2,2,0.04,0.4771,0.02,0.4771,54069,4.732948337
bullied,86,63,84,62,1.69,1.9395,0.75,1.8062,13072,4.116342039
bullies,89,62,84,59,1.75,1.9542,0.74,1.7993,12818,4.107820267
bullion,43,29,39,27,0.84,1.6435,0.35,1.4771,19132,4.281760372
Bullock,326,41,2,2,6.39,2.5145,0.49,1.6232,5882,3.76952502
Bullocks,11,8,3,2,0.22,1.0792,0.10,0.9542,34630,4.539452492
bullpen,33,26,29,23,0.65,1.5315,0.31,1.4314,21741,4.337279516
bullring,13,8,13,8,0.25,1.1461,0.10,0.9542,32585,4.513017725
bulls,264,138,132,90,5.18,2.4232,1.65,2.1430,6720,3.827369273
Bullseye,34,6,3,3,0.67,1.5441,0.07,0.8451,21548,4.333406967
bullshit,3537,1422,2563,1185,69.35,3.5488,16.95,3.1532,1034,3.014520539
bullshits,3,3,3,3,0.06,0.6021,0.04,0.6021,49291,4.692767629
bullshitted,6,5,6,5,0.12,0.8451,0.06,0.7782,42047,4.623735015
bullshitter,22,19,20,17,0.43,1.3617,0.23,1.3010,26138,4.417272354
bullshitters,4,4,4,4,0.08,0.6990,0.05,0.6990,45926,4.662058621
bullshitting,90,81,87,79,1.76,1.9590,0.97,1.9138,12705,4.103974669
bullshot,4,4,4,4,0.08,0.6990,0.05,0.6990,45927,4.662068078
bullwhip,11,9,11,9,0.22,1.0792,0.11,1.0000,34471,4.537453882
bully,368,264,322,236,7.22,2.5670,3.15,2.4232,5430,3.73479983
bullyboys,3,3,3,3,0.06,0.6021,0.04,0.6021,49292,4.69277644
bullying,50,43,46,40,0.98,1.7076,0.51,1.6435,17594,4.245364588
bulrushes,3,3,3,3,0.06,0.6021,0.04,0.6021,49293,4.69278525
bulwark,8,4,7,4,0.16,0.9542,0.05,0.6990,39026,4.59135404
bulwarks,2,2,2,2,0.04,0.4771,0.02,0.4771,54070,4.73295637
bum,787,479,726,459,15.43,2.8965,5.71,2.6812,3222,3.508125536
bumbershoot,3,2,3,2,0.06,0.6021,0.02,0.4771,52152,4.717270968
bumble,12,8,7,4,0.24,1.1139,0.10,0.9542,33566,4.52589959
bumblebee,33,18,25,14,0.65,1.5315,0.21,1.2788,21835,4.339153196
bumblebees,2,2,1,1,0.04,0.4771,0.02,0.4771,54071,4.732964402
bumbler,3,3,3,3,0.06,0.6021,0.04,0.6021,49294,4.692794061
bumbling,22,21,19,18,0.43,1.3617,0.25,1.3424,25995,4.414889822
bummed,119,101,118,100,2.33,2.0792,1.20,2.0086,10837,4.034909073
bummer,212,184,115,105,4.16,2.3284,2.19,2.2672,7701,3.886547123
bummers,5,4,5,4,0.10,0.7782,0.05,0.6990,44530,4.648652695
bumming,32,29,31,28,0.63,1.5185,0.35,1.4771,21963,4.341691662
bump,630,469,577,449,12.35,2.8000,5.59,2.6721,3756,3.574725584
bumped,310,272,306,270,6.08,2.4928,3.24,2.4362,6059,3.782400952
bumper,181,131,160,119,3.55,2.2601,1.56,2.1206,8487,3.928754202
bumpers,16,15,15,15,0.31,1.2304,0.18,1.2041,29659,4.472156504
bumpier,2,2,2,2,0.04,0.4771,0.02,0.4771,54072,4.732972433
bumpiness,3,3,3,3,0.06,0.6021,0.04,0.6021,49295,4.692802871
bumping,94,87,89,83,1.84,1.9777,1.04,1.9445,12422,4.094191525
bumpity,10,2,8,2,0.20,1.0414,0.02,0.4771,36214,4.558876497
bumpkin,19,17,18,16,0.37,1.3010,0.20,1.2553,27824,4.444419565
bumpkins,7,7,7,7,0.14,0.9031,0.08,0.9031,39340,4.594834356
bumps,177,143,176,143,3.47,2.2504,1.70,2.1584,8601,3.934548948
bumptious,4,3,4,3,0.08,0.6990,0.04,0.6021,47712,4.678627622
Bumpy,190,85,85,76,3.73,2.2810,1.01,1.9345,8262,3.917085191
bums,190,139,175,136,3.73,2.2810,1.66,2.1461,8251,3.916506587
bun,147,109,111,85,2.88,2.1703,1.30,2.0414,9568,3.980821167
bunce,2,1,1,1,0.04,0.4771,0.01,0.3010,59083,4.771462539
bunch,3003,2105,2846,2027,58.88,3.4777,25.10,3.3235,1170,3.068185862
bunched,10,10,10,10,0.20,1.0414,0.12,1.0414,35063,4.544849072
bunches,38,31,36,29,0.75,1.5911,0.37,1.5051,20291,4.307303451
bunching,3,3,3,3,0.06,0.6021,0.04,0.6021,49296,4.692811681
bunco,10,6,6,4,0.20,1.0414,0.07,0.8451,36028,4.556640154
Bund,3,3,1,1,0.06,0.6021,0.04,0.6021,49297,4.692820491
bundle,199,173,192,168,3.90,2.3010,2.06,2.2405,8002,3.903198547
bundled,16,16,16,16,0.31,1.2304,0.19,1.2304,29523,4.470160487
Bundler,3,1,0,0,0.06,0.6021,0.01,0.3010,53072,4.724865454
bundles,46,31,36,29,0.90,1.6721,0.37,1.5051,18465,4.266349312
bundling,3,3,2,2,0.06,0.6021,0.04,0.6021,49298,4.6928293
bundt,31,21,27,20,0.61,1.5051,0.25,1.3424,22461,4.351429088
Bundy,868,184,2,1,17.02,2.9390,2.19,2.2672,2982,3.474507639
Bung,15,9,6,5,0.29,1.2041,0.11,1.0000,30868,4.489508492
bungalow,84,48,63,43,1.65,1.9294,0.57,1.6902,13286,4.123394248
bungalows,13,11,9,9,0.25,1.1461,0.13,1.0792,32305,4.509269745
bunged,4,4,3,3,0.08,0.6990,0.05,0.6990,45928,4.662077534
bungee,36,27,28,23,0.71,1.5682,0.32,1.4472,20888,4.319896859
bunghole,33,8,28,8,0.65,1.5315,0.10,0.9542,21867,4.339789205
bungholes,2,2,2,2,0.04,0.4771,0.02,0.4771,54073,4.732980465
bungle,9,7,5,5,0.18,1.0000,0.08,0.9031,37114,4.569537763
bungled,21,20,21,20,0.41,1.3424,0.24,1.3222,26525,4.423655393
bungler,6,6,5,5,0.12,0.8451,0.07,0.8451,41127,4.614127031
bunglers,3,2,3,2,0.06,0.6021,0.02,0.4771,52153,4.717279295
bungling,17,16,17,16,0.33,1.2553,0.19,1.2304,28953,4.46169357
Bungo,22,2,0,0,0.43,1.3617,0.02,0.4771,26439,4.422245025
bunion,35,23,24,19,0.69,1.5563,0.27,1.3802,21213,4.326602092
bunions,24,19,22,18,0.47,1.3979,0.23,1.3010,25246,4.402192578
bunk,320,235,302,222,6.27,2.5065,2.80,2.3729,5944,3.774078801
bunked,7,6,7,6,0.14,0.9031,0.07,0.8451,40036,4.602450681
bunker,239,114,190,96,4.69,2.3802,1.36,2.0607,7163,3.855094951
bunkered,3,3,3,3,0.06,0.6021,0.04,0.6021,49299,4.69283811
bunkers,40,22,34,19,0.78,1.6128,0.26,1.3617,19883,4.298481913
bunkhouse,41,25,37,23,0.80,1.6232,0.30,1.4150,19613,4.292544028
bunkie,12,10,9,8,0.24,1.1139,0.12,1.0414,33293,4.522352931
bunking,18,16,16,15,0.35,1.2788,0.19,1.2304,28415,4.45354766
bunkmate,11,10,11,10,0.22,1.0792,0.12,1.0414,34212,4.534178463
bunkmates,3,3,3,3,0.06,0.6021,0.04,0.6021,49300,4.692846919
bunko,7,5,5,4,0.14,0.9031,0.06,0.7782,40425,4.606650029
bunks,55,35,55,35,1.08,1.7482,0.42,1.5563,16813,4.225645213
bunnies,92,62,77,55,1.80,1.9685,0.74,1.7993,12609,4.100680645
Bunning,2,2,0,0,0.04,0.4771,0.02,0.4771,54074,4.732988497
Bunny,946,340,430,215,18.55,2.9763,4.05,2.5328,2815,3.449478399
buns,193,129,176,120,3.78,2.2878,1.54,2.1139,8175,3.912487761
Bunsen,28,15,1,1,0.55,1.4624,0.18,1.2041,23650,4.373831145
Bunt,41,20,14,13,0.80,1.6232,0.24,1.3222,19641,4.293163596
bunter,2,1,2,1,0.04,0.4771,0.01,0.3010,59084,4.771469889
bunting,11,9,9,8,0.22,1.0792,0.11,1.0000,34472,4.537466481
Buntline,9,1,0,0,0.18,1.0000,0.01,0.3010,37631,4.575545759
Bunton,2,1,0,0,0.04,0.4771,0.01,0.3010,59085,4.77147724
Bunty,3,2,0,0,0.06,0.6021,0.02,0.4771,52154,4.717287623
Bunyan,14,12,0,0,0.27,1.1761,0.14,1.1139,31388,4.496763644
bunyip,2,2,2,2,0.04,0.4771,0.02,0.4771,54075,4.732996528
buoy,60,29,60,29,1.18,1.7853,0.35,1.4771,16028,4.204879334
buoyancy,18,16,18,16,0.35,1.2788,0.19,1.2304,28416,4.453562944
buoyant,9,9,9,9,0.18,1.0000,0.11,1.0000,36320,4.56014584
buoyed,5,3,3,3,0.10,0.7782,0.04,0.6021,45134,4.654503825
buoys,10,8,8,7,0.20,1.0414,0.10,0.9542,35718,4.552887133
bur,6,6,4,4,0.12,0.8451,0.07,0.8451,41128,4.614137591
Bura,2,1,0,0,0.04,0.4771,0.01,0.3010,59086,4.77148459
Burbank,73,50,0,0,1.43,1.8692,0.60,1.7076,14368,4.157396319
Burberry,9,8,2,2,0.18,1.0000,0.10,0.9542,36790,4.565729788
burble,2,1,1,1,0.04,0.4771,0.01,0.3010,59087,4.77149194
burbled,2,1,2,1,0.04,0.4771,0.01,0.3010,59088,4.77149929
burbling,3,3,3,3,0.06,0.6021,0.04,0.6021,49301,4.692855728
burbs,17,13,17,13,0.33,1.2553,0.15,1.1461,29234,4.465888243
burden,501,391,462,383,9.82,2.7007,4.66,2.5933,4434,3.646795689
burdened,33,30,32,30,0.65,1.5315,0.36,1.4914,21623,4.334915948
burdens,45,38,45,38,0.88,1.6628,0.45,1.5911,18606,4.269653017
Burdock,3,1,0,0,0.06,0.6021,0.01,0.3010,53073,4.724873637
Burdon,22,3,0,0,0.43,1.3617,0.04,0.6021,26432,4.422130026
Bureau,568,353,186,152,11.14,2.7551,4.21,2.5490,4064,3.608953699
bureaucracies,3,3,2,2,0.06,0.6021,0.04,0.6021,49302,4.692864537
bureaucracy,26,25,24,23,0.51,1.4314,0.30,1.4150,24156,4.383025021
bureaucrat,29,26,28,25,0.57,1.4771,0.31,1.4314,23026,4.3622185
bureaucratic,41,37,39,36,0.80,1.6232,0.44,1.5798,19499,4.290012339
bureaucrats,33,33,29,29,0.65,1.5315,0.39,1.5315,21558,4.333608468
bureaus,7,6,7,6,0.14,0.9031,0.07,0.8451,40037,4.602461528
burg,28,24,27,23,0.55,1.4624,0.29,1.3979,23477,4.3706426
burgeoning,17,16,17,16,0.33,1.2553,0.19,1.2304,28954,4.46170857
burger,522,305,339,227,10.24,2.7185,3.64,2.4857,4318,3.635282638
burgers,255,180,231,168,5.00,2.4082,2.15,2.2577,6880,3.837588438
Burgess,49,14,0,0,0.96,1.6990,0.17,1.1761,17890,4.252610341
burgh,6,2,6,2,0.12,0.8451,0.02,0.4771,42946,4.63292272
Burgher,4,2,1,1,0.08,0.6990,0.02,0.4771,48411,4.684944054
burglar,282,135,261,128,5.53,2.4518,1.61,2.1335,6455,3.809896247
burglaries,41,31,39,29,0.80,1.6232,0.37,1.5051,19576,4.291723956
burglarize,3,3,3,3,0.06,0.6021,0.04,0.6021,49303,4.692873346
burglarized,10,8,10,8,0.20,1.0414,0.10,0.9542,35719,4.552899292
burglarizing,5,5,5,5,0.10,0.7782,0.06,0.7782,43263,4.636116632
burglars,107,67,100,63,2.10,2.0334,0.80,1.8325,11578,4.063633545
burglary,182,105,151,97,3.57,2.2625,1.25,2.0253,8461,3.927421695
burgle,8,6,8,6,0.16,0.9542,0.07,0.8451,38665,4.587318015
burgled,11,9,11,9,0.22,1.0792,0.11,1.0000,34473,4.537479079
burgling,8,5,8,5,0.16,0.9542,0.06,0.7782,38902,4.58997193
burgomaster,22,5,13,4,0.43,1.3617,0.06,0.7782,26420,4.421932813
burgs,2,2,2,2,0.04,0.4771,0.02,0.4771,54076,4.733004559
Burgundy,137,41,40,26,2.69,2.1399,0.49,1.6232,10001,4.000043427
Buri,2,1,0,0,0.04,0.4771,0.01,0.3010,59089,4.77150664
burial,242,197,229,187,4.75,2.3856,2.35,2.2967,7111,3.851930679
burials,10,9,8,7,0.20,1.0414,0.11,1.0000,35432,4.549395667
Burian,2,2,0,0,0.04,0.4771,0.02,0.4771,54077,4.73301259
buried,1738,1095,1675,1067,34.08,3.2403,13.05,3.0398,1748,3.242541428
buries,39,34,38,34,0.76,1.6021,0.41,1.5441,20001,4.30105171
Burk,4,2,0,0,0.08,0.6990,0.02,0.4771,48412,4.684953025
burka,3,3,3,3,0.06,0.6021,0.04,0.6021,49304,4.692882155
burkas,2,2,1,1,0.04,0.4771,0.02,0.4771,54078,4.733020621
Burke,479,129,3,2,9.39,2.6812,1.54,2.1139,4587,3.66152874
Burked,3,3,0,0,0.06,0.6021,0.04,0.6021,49305,4.692890963
Burkes,8,2,0,0,0.16,0.9542,0.02,0.4771,39163,4.592875953
Burks,7,3,0,0,0.14,0.9031,0.04,0.6021,40792,4.610574999
Burl,7,6,2,1,0.14,0.9031,0.07,0.8451,40038,4.602472375
burlap,11,10,7,7,0.22,1.0792,0.12,1.0414,34213,4.534191157
burled,3,3,3,3,0.06,0.6021,0.04,0.6021,49306,4.692899771
burlesque,36,29,33,27,0.71,1.5682,0.35,1.4771,20863,4.319376758
Burley,56,2,0,0,1.10,1.7559,0.02,0.4771,16680,4.222196046
burly,17,16,16,15,0.33,1.2553,0.19,1.2304,28955,4.461723569
Burma,79,34,0,0,1.55,1.9031,0.41,1.5441,13791,4.139595758
Burmese,20,11,0,0,0.39,1.3222,0.13,1.0792,27524,4.439711549
burn,2816,1641,2372,1509,55.22,3.4498,19.56,3.2154,1215,3.084576278
burned,1448,1038,1379,1006,28.39,3.1611,12.37,3.0166,2013,3.303843775
burner,93,70,91,69,1.82,1.9731,0.83,1.8513,12520,4.097604329
burners,28,25,27,25,0.55,1.4624,0.30,1.4150,23430,4.369772289
Burnie,9,4,0,0,0.18,1.0000,0.05,0.6990,37493,4.573950192
burning,1561,1122,1393,1056,30.61,3.1937,13.38,3.0504,1907,3.280350693
burnings,5,5,4,4,0.10,0.7782,0.06,0.7782,43264,4.63612667
burnished,2,2,2,2,0.04,0.4771,0.02,0.4771,54079,4.733028652
burnoose,3,3,3,3,0.06,0.6021,0.04,0.6021,49307,4.692908579
burnout,12,11,11,10,0.24,1.1139,0.13,1.0792,33047,4.51913204
burnouts,4,4,4,4,0.08,0.6990,0.05,0.6990,45929,4.66208699
Burns,1180,565,539,399,23.14,3.0722,6.74,2.7528,2382,3.376941757
Burnside,26,6,0,0,0.51,1.4314,0.07,0.8451,24506,4.389272429
burnt,488,361,450,342,9.57,2.6893,4.30,2.5587,4521,3.655234507
burny,2,1,2,1,0.04,0.4771,0.01,0.3010,59090,4.77151399
buro,2,2,1,1,0.04,0.4771,0.02,0.4771,54080,4.733036683
burp,66,56,59,50,1.29,1.8261,0.67,1.7559,15154,4.180527283
burped,16,16,16,16,0.31,1.2304,0.19,1.2304,29524,4.470175197
burping,24,21,22,21,0.47,1.3979,0.25,1.3424,25140,4.400365273
burps,21,19,16,14,0.41,1.3424,0.23,1.3010,26607,4.42499591
Burr,35,21,15,12,0.69,1.5563,0.25,1.3424,21227,4.32688862
burring,2,2,2,2,0.04,0.4771,0.02,0.4771,54081,4.733044713
burrito,84,50,75,49,1.65,1.9294,0.60,1.7076,13284,4.123328867
burritos,37,23,34,22,0.73,1.5798,0.27,1.3802,20651,4.314941087
burro,46,16,42,16,0.90,1.6721,0.19,1.2304,18512,4.267453342
burros,29,5,29,5,0.57,1.4771,0.06,0.7782,23311,4.367560904
Burroughs,33,12,0,0,0.65,1.5315,0.14,1.1139,21859,4.33963029
burrow,28,26,24,22,0.55,1.4624,0.31,1.4314,23392,4.369067355
burrowed,9,9,8,8,0.18,1.0000,0.11,1.0000,36321,4.560157797
burrower,3,1,2,1,0.06,0.6021,0.01,0.3010,53074,4.72488182
burrowing,22,18,20,18,0.43,1.3617,0.21,1.2788,26186,4.418069164
Burrows,125,40,8,7,2.45,2.1004,0.48,1.6128,10588,4.024813933
burrs,3,3,3,3,0.06,0.6021,0.04,0.6021,49308,4.692917387
burry,6,6,5,5,0.12,0.8451,0.07,0.8451,41129,4.61414815
bursa,3,2,3,2,0.06,0.6021,0.02,0.4771,52155,4.71729595
Bursar,8,3,3,1,0.16,0.9542,0.04,0.6021,39112,4.592310024
bursitis,22,14,21,14,0.43,1.3617,0.17,1.1761,26326,4.420384877
burst,435,366,422,360,8.53,2.6395,4.36,2.5647,4852,3.685920792
burster,4,1,4,1,0.08,0.6990,0.01,0.3010,48766,4.688117134
bursting,119,106,111,99,2.33,2.0792,1.26,2.0294,10833,4.034748743
bursts,58,53,56,52,1.14,1.7709,0.63,1.7324,16204,4.209622235
Burt,676,87,1,1,13.25,2.8306,1.04,1.9445,3561,3.551571974
burthen,3,1,3,1,0.06,0.6021,0.01,0.3010,53075,4.724890003
Burton,157,62,1,1,3.08,2.1987,0.74,1.7993,9218,3.964636704
Burundi,5,3,0,0,0.10,0.7782,0.04,0.6021,45135,4.654513447
bury,1054,757,942,701,20.67,3.0233,9.02,2.8797,2588,3.412964272
burying,119,102,114,99,2.33,2.0792,1.22,2.0128,10836,4.034868996
bus,3783,1546,3607,1504,74.18,3.5780,18.43,3.1895,967,2.985426474
busboy,86,62,83,60,1.69,1.9395,0.74,1.7993,13076,4.116474912
busboys,24,20,18,15,0.47,1.3979,0.24,1.3222,25201,4.401417774
Busby,2,2,0,0,0.04,0.4771,0.02,0.4771,54082,4.733052744
buses,201,153,190,146,3.94,2.3054,1.82,2.1875,7969,3.901403827
bush,720,403,369,273,14.12,2.8579,4.80,2.6064,3406,3.532244644
bushed,37,34,37,34,0.73,1.5798,0.41,1.5441,20484,4.311414767
bushel,32,27,30,25,0.63,1.5185,0.32,1.4472,22023,4.342876479
bushels,8,7,8,7,0.16,0.9542,0.08,0.9031,38325,4.583482164
bushes,249,196,241,192,4.88,2.3979,2.34,2.2945,6991,3.844539302
Bushido,3,3,1,1,0.06,0.6021,0.04,0.6021,49309,4.692926195
bushings,2,2,1,1,0.04,0.4771,0.02,0.4771,54083,4.733060774
Bushman,9,7,4,4,0.18,1.0000,0.08,0.9031,37115,4.569549465
Bushmen,6,3,2,2,0.12,0.8451,0.04,0.6021,42800,4.631443769
bushwa,6,6,3,3,0.12,0.8451,0.07,0.8451,41130,4.61415871
Bushwah,2,2,0,0,0.04,0.4771,0.02,0.4771,54084,4.733068804
bushwhack,10,8,9,8,0.20,1.0414,0.10,0.9542,35720,4.55291145
